文件号	测点增量	数据	标记	测量时间	坐标纬度	坐标经度	仪器号	测区号	操作员	方向	线距	点距	配谐	模式	预置场	采样间隔
0011	91	39429.004	0	2025-03-12 00:10:40	LA<N>: 17/10/56.5	LO<E>: 20/56/4.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	92	38749.734	0	2025-03-12 00:11:12	LA<N>: 17/10/56.5	LO<E>: 20/56/3.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	93	38403.184	0	2025-03-12 00:11:33	LA<N>: 17/10/56.5	LO<E>: 20/56/3.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	94	39035.906	0	2025-03-12 00:11:56	LA<N>: 17/10/56.5	LO<E>: 20/56/3.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	95	39802.008	0	2025-03-12 00:12:20	LA<N>: 17/10/56.6	LO<E>: 20/56/3.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	96	39086.781	0	2025-03-12 00:12:44	LA<N>: 17/10/56.5	LO<E>: 20/56/2.6	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	97	40646.656	0	2025-03-12 00:13:04	LA<N>: 17/10/56.5	LO<E>: 20/56/2.3	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	98	37681.375	0	2025-03-12 00:13:29	LA<N>: 17/10/56.5	LO<E>: 20/56/2.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	99	37827.102	0	2025-03-12 00:13:51	LA<N>: 17/10/56.5	LO<E>: 20/56/1.6	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0011	100	39601.078	0	2025-03-12 00:14:15	LA<N>: 17/10/56.4	LO<E>: 20/56/1.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	1	39101.574	0	2025-03-12 00:15:29	LA<N>: 17/10/56.5	LO<E>: 20/56/0.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	2	39226.566	0	2025-03-12 00:15:56	LA<N>: 17/10/56.5	LO<E>: 20/56/0.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	3	38175.879	0	2025-03-12 00:16:19	LA<N>: 17/10/56.4	LO<E>: 20/55/59.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	4	38382.188	0	2025-03-12 00:16:41	LA<N>: 17/10/56.4	LO<E>: 20/55/59.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	5	38390.488	0	2025-03-12 00:17:00	LA<N>: 17/10/56.3	LO<E>: 20/55/59.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	6	39674.645	0	2025-03-12 00:17:25	LA<N>: 17/10/56.4	LO<E>: 20/55/58.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	7	38581.023	0	2025-03-12 00:17:48	LA<N>: 17/10/56.4	LO<E>: 20/55/58.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	8	38536.641	0	2025-03-12 00:18:15	LA<N>: 17/10/56.3	LO<E>: 20/55/58.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	9	38372.121	0	2025-03-12 00:18:38	LA<N>: 17/10/56.2	LO<E>: 20/55/57.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	10	39282.469	0	2025-03-12 00:19:01	LA<N>: 17/10/56.3	LO<E>: 20/55/57.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	11	39433.813	0	2025-03-12 00:19:23	LA<N>: 17/10/56.3	LO<E>: 20/55/57.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	12	38494.371	0	2025-03-12 00:19:43	LA<N>: 17/10/56.4	LO<E>: 20/55/56.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	13	38261.680	0	2025-03-12 00:20:08	LA<N>: 17/10/56.4	LO<E>: 20/55/56.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	14	39921.055	0	2025-03-12 00:20:32	LA<N>: 17/10/56.5	LO<E>: 20/55/56.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	15	39462.996	0	2025-03-12 00:20:59	LA<N>: 17/10/56.4	LO<E>: 20/55/55.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	16	38613.199	0	2025-03-12 00:21:29	LA<N>: 17/10/56.7	LO<E>: 20/55/55.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	17	38871.707	0	2025-03-12 00:21:58	LA<N>: 17/10/56.5	LO<E>: 20/55/55.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	18	39864.883	0	2025-03-12 00:22:28	LA<N>: 17/10/56.6	LO<E>: 20/55/54.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	19	37921.289	0	2025-03-12 00:22:51	LA<N>: 17/10/56.5	LO<E>: 20/55/54.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	20	40397.520	0	2025-03-12 00:23:14	LA<N>: 17/10/56.4	LO<E>: 20/55/54.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	21	39352.887	0	2025-03-12 00:23:34	LA<N>: 17/10/56.4	LO<E>: 20/55/53.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	22	39674.664	0	2025-03-12 00:23:56	LA<N>: 17/10/56.5	LO<E>: 20/55/53.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	23	40491.105	0	2025-03-12 00:24:22	LA<N>: 17/10/56.5	LO<E>: 20/55/53.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	24	38484.027	0	2025-03-12 00:24:49	LA<N>: 17/10/56.5	LO<E>: 20/55/52.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	25	38520.223	0	2025-03-12 00:25:10	LA<N>: 17/10/56.5	LO<E>: 20/55/52.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	26	38244.918	0	2025-03-12 00:25:32	LA<N>: 17/10/56.5	LO<E>: 20/55/52.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	27	39926.324	0	2025-03-12 00:25:53	LA<N>: 17/10/56.5	LO<E>: 20/55/51.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	28	39887.613	0	2025-03-12 00:26:13	LA<N>: 17/10/56.4	LO<E>: 20/55/51.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	29	37933.840	0	2025-03-12 00:26:34	LA<N>: 17/10/56.4	LO<E>: 20/55/51.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	30	38861.699	0	2025-03-12 00:26:57	LA<N>: 17/10/56.3	LO<E>: 20/55/50.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	31	38980.117	0	2025-03-12 00:27:17	LA<N>: 17/10/56.3	LO<E>: 20/55/50.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	32	38409.656	0	2025-03-12 00:27:42	LA<N>: 17/10/56.5	LO<E>: 20/55/50.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	33	38859.949	0	2025-03-12 00:28:02	LA<N>: 17/10/56.4	LO<E>: 20/55/49.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	34	39447.234	0	2025-03-12 00:28:24	LA<N>: 17/10/56.4	LO<E>: 20/55/49.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	35	38762.020	0	2025-03-12 00:28:49	LA<N>: 17/10/56.5	LO<E>: 20/55/49.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0012	36	40392.512	0	2025-03-12 00:29:09	LA<N>: 17/10/56.4	LO<E>: 20/55/48.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
文件号	测点增量	数据	标记	测量时间	坐标纬度	坐标经度	仪器号	测区号	操作员	方向	线距	点距	配谐	模式	预置场	采样间隔
0008	1	37476.852	0	2025-03-11 16:17:38	LA<N>: 17/10/48.1	LO<E>: 20/55/54.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	2	37343.750	0	2025-03-11 16:18:47	LA<N>: 17/10/47.9	LO<E>: 20/55/54.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	3	37238.645	0	2025-03-11 16:19:22	LA<N>: 17/10/48.2	LO<E>: 20/55/55.2	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	4	37230.473	0	2025-03-11 16:19:54	LA<N>: 17/10/48.0	LO<E>: 20/55/55.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	5	37232.637	0	2025-03-11 16:20:26	LA<N>: 17/10/48.2	LO<E>: 20/55/55.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	6	37707.328	0	2025-03-11 16:20:53	LA<N>: 17/10/48.4	LO<E>: 20/55/56.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	7	37465.566	0	2025-03-11 16:21:27	LA<N>: 17/10/48.2	LO<E>: 20/55/56.7	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	8	37338.172	0	2025-03-11 16:21:59	LA<N>: 17/10/48.2	LO<E>: 20/55/57.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	9	37799.348	0	2025-03-11 16:22:24	LA<N>: 17/10/48.2	LO<E>: 20/55/57.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	10	37454.727	0	2025-03-11 16:23:11	LA<N>: 17/10/48.2	LO<E>: 20/55/57.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	11	37591.156	0	2025-03-11 16:23:39	LA<N>: 17/10/48.0	LO<E>: 20/55/58.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	12	37339.813	0	2025-03-11 16:24:04	LA<N>: 17/10/48.0	LO<E>: 20/55/58.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	13	37338.160	0	2025-03-11 16:24:27	LA<N>: 17/10/48.1	LO<E>: 20/55/59.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	14	37473.082	0	2025-03-11 16:24:56	LA<N>: 17/10/48.1	LO<E>: 20/55/59.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	15	37471.402	0	2025-03-11 16:25:33	LA<N>: 17/10/48.0	LO<E>: 20/55/59.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	16	37470.328	0	2025-03-11 16:28:19	LA<N>: 17/10/48.7	LO<E>: 20/55/59.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	17	37698.918	0	2025-03-11 16:28:45	LA<N>: 17/10/48.7	LO<E>: 20/55/59.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	18	39363.734	0	2025-03-11 16:29:13	LA<N>: 17/10/48.7	LO<E>: 20/55/58.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	19	37580.441	0	2025-03-11 16:29:46	LA<N>: 17/10/48.7	LO<E>: 20/55/58.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	20	37581.836	0	2025-03-11 16:30:15	LA<N>: 17/10/48.8	LO<E>: 20/55/58.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	21	38285.938	0	2025-03-11 16:30:45	LA<N>: 17/10/48.8	LO<E>: 20/55/57.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	22	37761.621	0	2025-03-11 16:31:18	LA<N>: 17/10/48.8	LO<E>: 20/55/57.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	23	38057.906	0	2025-03-11 16:31:51	LA<N>: 17/10/48.7	LO<E>: 20/55/57.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	24	38052.852	0	2025-03-11 16:32:23	LA<N>: 17/10/48.7	LO<E>: 20/55/56.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	25	38391.094	0	2025-03-11 16:32:53	LA<N>: 17/10/48.8	LO<E>: 20/55/56.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	26	37835.313	0	2025-03-11 16:33:24	LA<N>: 17/10/48.9	LO<E>: 20/55/56.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	27	38185.984	0	2025-03-11 16:34:10	LA<N>: 17/10/48.6	LO<E>: 20/55/55.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	28	37714.059	0	2025-03-11 16:34:40	LA<N>: 17/10/48.6	LO<E>: 20/55/55.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	29	38300.070	0	2025-03-11 16:35:09	LA<N>: 17/10/48.7	LO<E>: 20/55/55.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	30	37948.848	0	2025-03-11 16:35:36	LA<N>: 17/10/48.8	LO<E>: 20/55/54.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	31	38066.984	0	2025-03-11 16:36:02	LA<N>: 17/10/48.7	LO<E>: 20/55/54.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	32	38298.328	0	2025-03-11 16:36:27	LA<N>: 17/10/48.7	LO<E>: 20/55/54.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	33	38072.355	0	2025-03-11 16:38:03	LA<N>: 17/10/49.4	LO<E>: 20/55/53.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	34	38177.867	0	2025-03-11 16:38:40	LA<N>: 17/10/49.2	LO<E>: 20/55/54.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	35	38053.641	0	2025-03-11 16:39:19	LA<N>: 17/10/49.4	LO<E>: 20/55/54.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	36	37247.547	0	2025-03-11 16:39:50	LA<N>: 17/10/49.3	LO<E>: 20/55/54.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	37	38525.270	0	2025-03-11 16:40:22	LA<N>: 17/10/49.4	LO<E>: 20/55/55.1	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	38	38526.734	0	2025-03-11 16:40:54	LA<N>: 17/10/49.3	LO<E>: 20/55/55.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	39	38536.227	0	2025-03-11 16:41:25	LA<N>: 17/10/49.3	LO<E>: 20/55/55.7	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	40	39242.656	0	2025-03-11 16:42:05	LA<N>: 17/10/49.5	LO<E>: 20/55/56.1	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	41	37828.785	0	2025-03-11 16:42:35	LA<N>: 17/10/49.4	LO<E>: 20/55/56.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	42	37804.789	0	2025-03-11 16:43:00	LA<N>: 17/10/49.3	LO<E>: 20/55/56.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	43	38653.586	0	2025-03-11 16:43:32	LA<N>: 17/10/49.3	LO<E>: 20/55/57.1	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	44	38763.902	0	2025-03-11 16:43:57	LA<N>: 17/10/49.2	LO<E>: 20/55/57.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	45	39817.355	0	2025-03-11 16:44:27	LA<N>: 17/10/49.4	LO<E>: 20/55/57.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	46	38766.285	0	2025-03-11 16:45:12	LA<N>: 17/10/49.3	LO<E>: 20/55/58.1	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	47	38533.422	0	2025-03-11 16:45:44	LA<N>: 17/10/49.4	LO<E>: 20/55/58.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	48	38273.633	0	2025-03-11 16:46:11	LA<N>: 17/10/49.4	LO<E>: 20/55/58.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	49	39464.910	0	2025-03-11 16:46:38	LA<N>: 17/10/49.4	LO<E>: 20/55/59.1	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	50	37937.898	0	2025-03-11 16:47:09	LA<N>: 17/10/49.4	LO<E>: 20/55/59.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	51	38414.750	0	2025-03-11 16:47:34	LA<N>: 17/10/49.3	LO<E>: 20/55/59.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	52	38994.289	0	2025-03-11 16:47:59	LA<N>: 17/10/49.2	LO<E>: 20/56/0.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	53	37833.594	0	2025-03-11 16:49:15	LA<N>: 17/10/49.9	LO<E>: 20/56/0.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	54	40283.410	0	2025-03-11 16:49:41	LA<N>: 17/10/50.0	LO<E>: 20/56/0.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	55	38306.336	0	2025-03-11 16:50:06	LA<N>: 17/10/50.0	LO<E>: 20/55/59.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	56	37721.625	0	2025-03-11 16:50:31	LA<N>: 17/10/49.9	LO<E>: 20/55/59.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	57	37948.164	0	2025-03-11 16:50:57	LA<N>: 17/10/49.9	LO<E>: 20/55/59.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	58	38523.688	0	2025-03-11 16:51:19	LA<N>: 17/10/49.7	LO<E>: 20/55/58.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	59	39235.180	0	2025-03-11 16:51:42	LA<N>: 17/10/49.7	LO<E>: 20/55/58.3	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	60	38766.422	0	2025-03-11 16:52:07	LA<N>: 17/10/49.8	LO<E>: 20/55/58.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	61	40303.219	0	2025-03-11 16:52:30	LA<N>: 17/10/49.8	LO<E>: 20/55/58.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	62	38900.395	0	2025-03-11 16:52:50	LA<N>: 17/10/49.9	LO<E>: 20/55/57.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	63	38656.684	0	2025-03-11 16:53:37	LA<N>: 17/10/49.7	LO<E>: 20/55/57.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	64	39350.801	0	2025-03-11 16:54:16	LA<N>: 17/10/49.7	LO<E>: 20/55/56.4	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	65	40301.281	0	2025-03-11 16:54:47	LA<N>: 17/10/49.9	LO<E>: 20/55/56.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	66	38077.996	0	2025-03-11 16:55:18	LA<N>: 17/10/49.9	LO<E>: 20/55/55.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	67	39946.137	0	2025-03-11 16:55:47	LA<N>: 17/10/49.9	LO<E>: 20/55/55.6	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	68	38301.219	0	2025-03-11 16:56:16	LA<N>: 17/10/49.9	LO<E>: 20/55/55.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	69	39362.551	0	2025-03-11 16:56:39	LA<N>: 17/10/50.1	LO<E>: 20/55/54.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	70	38779.727	0	2025-03-11 16:57:07	LA<N>: 17/10/49.9	LO<E>: 20/55/54.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	71	39001.406	0	2025-03-11 16:57:33	LA<N>: 17/10/49.9	LO<E>: 20/55/54.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	72	38777.980	0	2025-03-11 16:58:37	LA<N>: 17/10/49.8	LO<E>: 20/55/53.9	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	73	39582.801	0	2025-03-11 16:59:02	LA<N>: 17/10/49.9	LO<E>: 20/55/53.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	74	39698.332	0	2025-03-11 16:59:29	LA<N>: 17/10/49.8	LO<E>: 20/55/53.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0008	75	40060.359	0	2025-03-11 17:08:12	LA<N>: 17/10/50.7	LO<E>: 20/55/52.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	76	38445.344	0	2025-03-11 17:08:45	LA<N>: 17/10/50.6	LO<E>: 20/55/53.1	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	77	38666.391	0	2025-03-11 17:09:09	LA<N>: 17/10/50.8	LO<E>: 20/55/53.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	78	38072.031	0	2025-03-11 17:09:30	LA<N>: 17/10/50.6	LO<E>: 20/55/54.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	79	37966.113	0	2025-03-11 17:10:00	LA<N>: 17/10/50.8	LO<E>: 20/55/54.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	80	39240.773	0	2025-03-11 17:10:28	LA<N>: 17/10/50.8	LO<E>: 20/55/54.7	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	81	38910.461	0	2025-03-11 17:10:51	LA<N>: 17/10/50.7	LO<E>: 20/55/54.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	82	39244.344	0	2025-03-11 17:11:34	LA<N>: 17/10/50.7	LO<E>: 20/55/55.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	83	37953.102	0	2025-03-11 17:12:03	LA<N>: 17/10/50.7	LO<E>: 20/55/55.4	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	84	38663.258	0	2025-03-11 17:12:33	LA<N>: 17/10/50.8	LO<E>: 20/55/55.8	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	85	38905.477	0	2025-03-11 17:13:06	LA<N>: 17/10/50.8	LO<E>: 20/55/56.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	86	39488.707	0	2025-03-11 17:13:31	LA<N>: 17/10/50.7	LO<E>: 20/55/56.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	87	38436.953	0	2025-03-11 17:14:06	LA<N>: 17/10/50.8	LO<E>: 20/55/56.7	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	88	39954.730	0	2025-03-11 17:14:39	LA<N>: 17/10/50.6	LO<E>: 20/55/57.2	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	89	39732.781	0	2025-03-11 17:15:10	LA<N>: 17/10/50.7	LO<E>: 20/55/57.7	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	90	38918.055	0	2025-03-11 17:15:31	LA<N>: 17/10/50.7	LO<E>: 20/55/58.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	91	38425.301	0	2025-03-11 17:15:56	LA<N>: 17/10/50.6	LO<E>: 20/55/58.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	92	39255.344	0	2025-03-11 17:16:24	LA<N>: 17/10/50.7	LO<E>: 20/55/58.5	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	93	38659.254	0	2025-03-11 17:16:50	LA<N>: 17/10/50.7	LO<E>: 20/55/58.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	94	37834.730	0	2025-03-11 17:17:15	LA<N>: 17/10/50.6	LO<E>: 20/55/59.2	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	95	38533.672	0	2025-03-11 17:17:38	LA<N>: 17/10/50.7	LO<E>: 20/55/59.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	96	39124.184	0	2025-03-11 17:18:00	LA<N>: 17/10/50.6	LO<E>: 20/55/59.9	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	97	38073.918	0	2025-03-11 17:18:21	LA<N>: 17/10/50.6	LO<E>: 20/56/0.3	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	98	38520.703	0	2025-03-11 17:18:43	LA<N>: 17/10/50.6	LO<E>: 20/56/0.6	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	99	38644.020	0	2025-03-11 17:19:23	LA<N>: 17/10/50.6	LO<E>: 20/56/1.0	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0008	100	37941.844	0	2025-03-11 17:20:26	LA<N>: 17/10/51.2	LO<E>: 20/56/1.2	0001	0004	0001	090	0010	0010	Lock	Manual	037100	010
0009	1	38774.527	0	2025-03-11 17:22:29	LA<N>: 17/10/51.4	LO<E>: 20/56/0.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	2	38901.133	0	2025-03-11 17:22:52	LA<N>: 17/10/51.3	LO<E>: 20/56/0.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	3	38184.531	0	2025-03-11 17:23:14	LA<N>: 17/10/51.2	LO<E>: 20/56/0.2	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	4	42615.461	0	2025-03-11 17:23:42	LA<N>: 17/10/51.1	LO<E>: 20/55/59.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	5	38307.754	0	2025-03-11 17:24:08	LA<N>: 17/10/51.1	LO<E>: 20/55/59.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	6	39250.156	0	2025-03-11 17:24:27	LA<N>: 17/10/51.0	LO<E>: 20/55/59.3	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	7	39848.402	0	2025-03-11 17:24:49	LA<N>: 17/10/51.1	LO<E>: 20/55/59.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	8	38426.301	0	2025-03-11 17:25:12	LA<N>: 17/10/51.2	LO<E>: 20/55/58.7	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	9	37720.398	0	2025-03-11 17:25:39	LA<N>: 17/10/51.3	LO<E>: 20/55/58.3	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	10	38429.855	0	2025-03-11 17:26:02	LA<N>: 17/10/51.2	LO<E>: 20/55/58.1	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	11	39734.434	0	2025-03-11 17:26:37	LA<N>: 17/10/51.2	LO<E>: 20/55/57.5	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	12	38437.184	0	2025-03-11 17:27:01	LA<N>: 17/10/51.3	LO<E>: 20/55/57.3	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	13	37834.293	0	2025-03-11 17:27:26	LA<N>: 17/10/51.2	LO<E>: 20/55/57.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	14	38690.922	0	2025-03-11 17:27:53	LA<N>: 17/10/51.3	LO<E>: 20/55/56.6	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	15	38652.910	0	2025-03-11 17:28:17	LA<N>: 17/10/51.3	LO<E>: 20/55/56.3	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	16	38082.824	0	2025-03-11 17:28:43	LA<N>: 17/10/51.4	LO<E>: 20/55/56.0	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
0009	17	39495.246	0	2025-03-11 17:29:04	LA<N>: 17/10/51.4	LO<E>: 20/55/55.8	0001	0004	0001	270	0010	0010	Lock	Manual	037100	010
